Start;End;Sleep Quality;Regularity;Mood;Heart rate (bpm);Steps;Alarm mode;Air Pressure (Pa);City;Movements per hour;Time in bed (seconds);Time asleep (seconds);Time before sleep (seconds);Window start;Window stop;Did snore;Snore time;Weather temperature (°F);Weather type;Notes
2020-03-07 02:01:15;2020-03-07 09:00:32;82%;96%;;0;3498;Normal;100.4;;43.9;25157.8;23983.8;1174.0;2020-03-07 06:00:00;2020-03-07 06:00:00;true;0.0;32.0;No weather;
2020-03-08 00:42:48;2020-03-08 09:00:46;87%;92%;;0;720;Normal;100.8;;39.3;26278.0;24613.7;525.6;2020-03-08 06:00:00;2020-03-08 06:00:00;true;0.0;32.0;No weather;
2020-03-09 01:36:04;2020-03-09 09:00:50;80%;90%;;0;1288;Normal;101.3;;58.2;26686.0;20370.3;1156.4;2020-03-09 06:00:00;2020-03-09 06:00:00;true;0.0;32.0;No weather;
2020-03-10 01:46:38;2020-03-10 09:00:46;84%;87%;;0;3379;Normal;101.8;;43.5;26048.3;20925.4;1041.9;2020-03-10 06:00:00;2020-03-10 06:00:00;true;0.0;32.0;No weather;
2020-03-11 01:26:29;2020-03-11 09:00:36;86%;93%;;0;1428;Normal;101.3;;47.6;27246.9;18073.8;1271.5;2020-03-11 06:00:00;2020-03-11 06:00:00;true;0.0;32.0;No weather;
2020-03-12 00:47:10;2020-03-12 08:52:19;91%;94%;;0;1248;Normal;101.9;;49.2;29109.8;22511.6;4366.5;2020-03-12 06:00:00;2020-03-12 06:00:00;true;0.0;32.0;No weather;
2020-03-13 02:12:46;2020-03-13 09:00:36;77%;93%;;0;3808;Normal;101.3;;48.6;24469.3;20146.4;489.4;2020-03-13 06:00:00;2020-03-13 06:00:00;true;0.0;32.0;No weather;
2020-03-14 02:17:23;2020-03-14 09:05:44;76%;93%;;0;1024;Normal;99.7;;50.3;24501.0;21642.5;735.0;2020-03-14 06:00:00;2020-03-14 06:00:00;true;0.0;32.0;No weather;
2020-03-15 01:23:44;2020-03-15 09:01:41;92%;93%;;0;1002;Normal;101.2;;36.2;27477.1;23905.1;1831.8;2020-03-15 06:00:00;2020-03-15 06:00:00;true;0.0;32.0;No weather;
2020-03-16 01:56:33;2020-03-16 09:00:45;80%;95%;;0;1114;Normal;101.5;;46.6;25451.6;20531.0;509.0;2020-03-16 06:00:00;2020-03-16 06:00:00;true;0.0;32.0;No weather;
